TTO;N;P;B;PL;SDT;FC;R;CCI;CCI.R;CCI.I;FC.R;FC.I
1.8N/0.6P;1.8N;0.6P;1;55;7;0,876;4;19,6;19,6;FALSO;0,876;FALSO
2.5N/0.6P;2.5N;0.6P;1;62;7;0,771;1;8,3;8,3;FALSO;0,771;FALSO
2.5N/0.6P;2.5N;0.6P;1;62;7;0,522;2;19,8;19,8;FALSO;0,522;FALSO
2.5N/0.6P;2.5N;0.6P;1;62;7;0,635;3;10,3;10,3;FALSO;0,635;FALSO
2.5N/0.6P;2.5N;0.6P;1;62;7;0,72;4;10,3;10,3;FALSO;0,72;FALSO
2.5N/0.6P;2.5N;0.6P;1;64;7;0,89;1;26,6;26,6;FALSO;0,89;FALSO
2.5N/0.6P;2.5N;0.6P;1;64;7;0,853;2;20,2;20,2;FALSO;0,853;FALSO
2.5N/0.6P;2.5N;0.6P;1;64;7;0,882;3;23,1;23,1;FALSO;0,882;FALSO
2.5N/0.6P;2.5N;0.6P;1;64;7;0,848;4;21,4;21,4;FALSO;0,848;FALSO
0.0N/1.2P;0.0N;1.2P;1;68;7;0,733;1;14,1;14,1;FALSO;0,733;FALSO
0.0N/1.2P;0.0N;1.2P;1;68;7;0,736;2;16,6;16,6;FALSO;0,736;FALSO
0.0N/1.2P;0.0N;1.2P;1;68;7;0,75;3;21,5;21,5;FALSO;0,75;FALSO
0.0N/1.2P;0.0N;1.2P;1;68;7;0,729;4;12,2;12,2;FALSO;0,729;FALSO
0.0N/1.2P;0.0N;1.2P;1;72;7;1,109;1;13,5;13,5;FALSO;0,7855;VERDADERO
0.0N/1.2P;0.0N;1.2P;1;72;7;0,792;2;12,4;12,4;FALSO;0,792;FALSO
0.0N/1.2P;0.0N;1.2P;1;72;7;0,796;3;10,6;10,6;FALSO;0,796;FALSO
0.0N/1.2P;0.0N;1.2P;1;72;7;0,757;4;13,6;13,6;FALSO;0,757;FALSO
1.1N/1.2P;1.1N;1.2P;1;74;7;0,768;1;15,5;15,5;FALSO;0,768;FALSO
1.1N/1.2P;1.1N;1.2P;1;74;7;0,581;2;21,8;21,8;FALSO;0,581;FALSO
1.1N/1.2P;1.1N;1.2P;1;74;7;0,806;3;22,9;22,9;FALSO;0,806;FALSO
1.1N/1.2P;1.1N;1.2P;1;74;7;0,838;4;11,6;11,6;FALSO;0,838;FALSO
1.1N/1.2P;1.1N;1.2P;1;77;7;0,752;1;18,7;18,7;FALSO;0,752;FALSO
1.1N/1.2P;1.1N;1.2P;1;77;7;0,766;2;15,2;15,2;FALSO;0,766;FALSO
1.1N/1.2P;1.1N;1.2P;1;77;7;0,783;3;17,7;17,7;FALSO;0,783;FALSO
1.1N/1.2P;1.1N;1.2P;1;77;7;0,809;4;11,9;11,9;FALSO;0,809;FALSO
1.8N/1.2P;1.8N;1.2P;1;81;7;0,85;1;10,6;10,6;FALSO;0,85;FALSO
1.8N/1.2P;1.8N;1.2P;1;81;7;0,437;2;28,7;28,7;FALSO;0,437;FALSO
1.8N/1.2P;1.8N;1.2P;1;81;7;0,759;3;13,4;13,4;FALSO;0,759;FALSO
1.8N/1.2P;1.8N;1.2P;1;81;7;0,539;4;25,1;25,1;FALSO;0,539;FALSO
1.8N/1.2P;1.8N;1.2P;1;82;7;1,136;1;25,6;25,6;FALSO;0,7225;VERDADERO
1.8N/1.2P;1.8N;1.2P;1;82;7;0,806;2;14,3;14,3;FALSO;0,806;FALSO
1.8N/1.2P;1.8N;1.2P;1;82;7;0,989;3;13,3;13,3;FALSO;0,989;FALSO
1.8N/1.2P;1.8N;1.2P;1;82;7;0,758;4;21;21;FALSO;0,758;FALSO
2.5N/1.2P;2.5N;1.2P;1;91;7;0,718;1;28;28;FALSO;0,718;FALSO
2.5N/1.2P;2.5N;1.2P;1;91;7;0,671;2;32;32;FALSO;0,671;FALSO
2.5N/1.2P;2.5N;1.2P;1;91;7;0,659;3;36,1;36,1;FALSO;0,659;FALSO
2.5N/1.2P;2.5N;1.2P;1;91;7;0,705;4;21,7;21,7;FALSO;0,705;FALSO
2.5N/1.2P;2.5N;1.2P;1;94;7;0,816;1;16,4;16,4;FALSO;0,816;FALSO
2.5N/1.2P;2.5N;1.2P;1;94;7;0,734;2;20,7;20,7;FALSO;0,734;FALSO
2.5N/1.2P;2.5N;1.2P;1;94;7;0,811;3;9,4;9,4;FALSO;0,811;FALSO
2.5N/1.2P;2.5N;1.2P;1;94;7;0,932;4;13,3;13,3;FALSO;0,735;VERDADERO
1.1N/0.0P;1.1N;0.0P;1;98;7;0,748;1;22,9;22,9;FALSO;0,748;FALSO
1.1N/0.0P;1.1N;0.0P;1;98;7;0,556;2;33,5;33,5;FALSO;0,749;VERDADERO
1.1N/0.0P;1.1N;0.0P;1;98;7;0,529;3;23,2;23,2;FALSO;0,749;VERDADERO
